Id Przystanku;Kierunek;Czas potrzebny na dojazd;Wspolrzedna x;Wspolrzedna y;Numer przystanku;Numer linii
5752;undefined;2;22.490347220000;51.235016670000;2;151;
5742;undefined;2;22.497080560000;51.237822220000;3;151;
5732;undefined;1;22.501122220000;51.239786110000;4;151;
5722;undefined;2;22.508416670000;51.243152780000;5;151;
5712;undefined;2;22.515711110000;51.246238890000;6;151;
5702;undefined;2;22.520875000000;51.248763890000;7;151;
5932;undefined;2;22.526766670000;51.250841670000;8;151;
5922;undefined;1;22.532658330000;51.250000000000;9;151;
5912;undefined;1;22.536980560000;51.249605560000;10;151;
5902;undefined;2;22.542591670000;51.248763890000;11;151;
1001;undefined;2;22.551402780000;51.247361110000;12;151;
1071;undefined;2;22.552244440000;51.243994440000;13;151;
3401;undefined;2;22.558416670000;51.239786110000;14;151;
3411;undefined;1;22.565991670000;51.235858330000;15;151;
3701;undefined;2;22.570875000000;51.233894440000;16;151;
3691;undefined;1;22.571565830689;51.231416718144;17;151;
3721;undefined;2;22.572838890000;51.226486110000;18;151;
3731;undefined;2;22.576486110000;51.221436110000;19;151;
3741;undefined;2;22.580133330000;51.216947220000;20;151;
3751;undefined;2;22.583613890000;51.212344440000;21;151;
3763;undefined;2;22.586419440000;51.206452780000;22;151;
3791;undefined;1;22.586013078690;51.203750964498;23;151;
3901;undefined;1;22.585858330000;51.201402780000;24;151;
3952;undefined;29;22.586010000000;51.197280000000;1;151;
3902;undefined;1;22.586138890000;51.201122220000;2;151;
3792;undefined;1;22.587053775788;51.205552474086;3;151;
3762;undefined;2;22.586138890000;51.208697220000;4;151;
3752;undefined;1;22.584175000000;51.211783330000;5;151;
3744;undefined;2;22.579852780000;51.217788890000;6;151;
3782;undefined;1;22.576834000000;51.221643000000;7;151;
3732;undefined;2;22.575745583000;51.222985832000;8;151;
3722;undefined;1;22.573400000000;51.225644440000;9;151;
3712;undefined;2;22.572277780000;51.229572220000;10;151;
3412;undefined;3;22.567788890000;51.235297220000;11;151;
3402;undefined;22;22.557575000000;51.240347220000;12;151;
1072;undefined;2;22.552805560000;51.243994440000;13;151;
1003;undefined;2;22.550553000000;51.247697000000;14;151;
5903;undefined;2;22.541188890000;51.249044440000;15;151;
5911;undefined;2;22.535297220000;51.250000000000;16;151;
5921;undefined;1;22.531255560000;51.250561110000;17;151;
5933;undefined;2;22.523961110000;51.250280560000;18;151;
5701;undefined;2;22.518911110000;51.248202780000;19;151;
5713;undefined;1;22.514308330000;51.245958330000;20;151;
5721;undefined;2;22.505891670000;51.242311110000;21;151;
5731;undefined;1;22.499325000000;51.239225000000;22;151;
5741;undefined;1;22.495397220000;51.237541670000;23;151;
5751;undefined;2;22.488383330000;51.234455560000;24;151;
5761;undefined;1;22.481816670000;51.231255560000;25;151;
5552;undefined;2;22.505330560000;51.225363890000;2;152;
5542;undefined;1;22.511222220000;51.227327780000;3;152;
5612;undefined;1;22.519191670000;51.227327780000;4;152;
5342;undefined;2;22.525363890000;51.227888890000;5;152;
5332;undefined;1;22.527608330000;51.230694440000;6;152;
5322;undefined;1;22.529291670000;51.235297220000;7;152;
5414;undefined;2;22.530975000000;51.237261110000;8;152;
5402;undefined;1;22.536419440000;51.235297220000;9;152;
5472;undefined;1;22.540748119354;51.234756671080;10;152;
5112;undefined;1;22.548483330000;51.236700000000;11;152;
5191;undefined;3;22.554899454117;51.237470524127;12;152;
3453;undefined;0;22.561572790146;51.232009067676;12;152;
4693;undefined;1;22.564335465431;51.231095402811;13;152;
3422;undefined;3;22.568350000000;51.231816670000;15;152;
4692;undefined;0;22.563643455506;51.231088684619;15;152;
3452;undefined;4;22.562463283539;51.232338251307;17;152;
3701;undefined;2;22.570875000000;51.233894440000;18;152;
3691;undefined;1;22.571565830689;51.231416718144;19;152;
3721;undefined;2;22.572838890000;51.226486110000;20;152;
3731;undefined;2;22.576486110000;51.221436110000;21;152;
3741;undefined;2;22.580133330000;51.216947220000;22;152;
3751;undefined;2;22.583613890000;51.212344440000;23;152;
3763;undefined;2;22.586419440000;51.206452780000;24;152;
3791;undefined;1;22.586013078690;51.203750964498;25;152;
3901;undefined;1;22.585858330000;51.201402780000;26;152;
3952;undefined;19;22.586010000000;51.197280000000;1;152;
3902;undefined;1;22.586138890000;51.201122220000;2;152;
3792;undefined;1;22.587053775788;51.205552474086;3;152;
3762;undefined;2;22.586138890000;51.208697220000;4;152;
3752;undefined;1;22.584175000000;51.211783330000;5;152;
3744;undefined;2;22.579852780000;51.217788890000;6;152;
3782;undefined;1;22.576834000000;51.221643000000;7;152;
3732;undefined;2;22.575745583000;51.222985832000;8;152;
3722;undefined;1;22.573400000000;51.225644440000;9;152;
